run,stratum,MAE,DirAcc,n_obs
ablation_perm_macro_s45,no_news,0.02732531540095806,0.5955263157894737,390
ablation_perm_macro_s46,news,0.03313587745651603,0.5383097047626294,22610
ablation_perm_macro_s46,no_news,0.026915574446320534,0.5893421052631579,390
ablation_perm_sentiment_s42,news,0.034574782475829124,0.5312962687429376,22610
ablation_perm_sentiment_s42,no_news,0.027933488599956036,0.6332894736842105,390
ablation_perm_sentiment_s43,news,0.03381727496162057,0.5349398408417801,22610
ablation_perm_sentiment_s43,no_news,0.03153771534562111,0.5668421052631579,390
ablation_perm_sentiment_s44,news,0.033652322832494974,0.5468059124967946,22610
ablation_perm_sentiment_s44,no_news,0.02636436652392149,0.6257894736842106,390
ablation_perm_sentiment_s45,news,0.03422980662435293,0.5406476109359282,22610
ablation_perm_sentiment_s45,no_news,0.026151540223509073,0.5980263157894736,390
ablation_perm_sentiment_s46,news,0.03473477531224489,0.5041381285101179,22610
ablation_perm_sentiment_s46,no_news,0.02666500210762024,0.5821052631578947,390
ablation_point_only_s42,news,0.03461662074550986,0.5239751766154643,22610
ablation_point_only_s42,no_news,0.03312582429498434,0.4214473684210526,390
ablation_point_only_s43,news,0.03463255614042282,0.5372448445473939,22610
ablation_point_only_s43,no_news,0.02607839461416006,0.6807894736842106,390
ablation_point_only_s44,news,0.033788989298045635,0.5461407907751354,22610
ablation_point_only_s44,no_news,0.025999118573963642,0.7228947368421053,390
ablation_point_only_s45,news,0.033775662537664175,0.534908543200692,22610
ablation_point_only_s45,no_news,0.02723137056455016,0.5993421052631579,390
ablation_point_only_s46,news,0.03353885700926185,0.5555011652252816,22610
ablation_point_only_s46,no_news,0.026817744597792625,0.6032894736842105,390
ablation_static_fusion_s42,news,0.033231751061975956,0.5508540805428512,22610
ablation_static_fusion_s42,no_news,0.02584472205489874,0.6026315789473684,390
ablation_static_fusion_s43,news,0.033615488559007645,0.5317558845990188,22610
ablation_static_fusion_s43,no_news,0.027916223276406527,0.5743421052631579,390
ablation_static_fusion_s44,news,0.0330974361859262,0.5530122341609673,22610
ablation_static_fusion_s44,no_news,0.023812790401279926,0.7902631578947368,390
ablation_static_fusion_s45,news,0.034579582046717405,0.4907617304511268,22610
ablation_static_fusion_s45,no_news,0.029975800774991512,0.4743421052631579,390
ablation_static_fusion_s46,news,0.03423091396689415,0.5195404228908295,22610
ablation_static_fusion_s46,no_news,0.024939218536019325,0.6357894736842106,390
baseline_arima,news,0.03291001297909876,0.5499523448221446,22610
baseline_arima,no_news,0.027619318433690455,0.6081578947368421,390
baseline_cnn_bilstm,news,0.03478197753429413,0.5128893395272032,22610
baseline_cnn_bilstm,no_news,0.03387223416939378,0.4507894736842106,390
baseline_cnn_bilstm_attn,news,0.033329369965940714,0.5618179254481257,22610
baseline_cnn_bilstm_attn,no_news,0.024741722736507654,0.7607894736842106,390
baseline_dcc_garch,news,0.03298452040385125,0.5342482747057348,22610
baseline_dcc_garch,no_news,0.027356681675111738,0.6032894736842105,390
baseline_garch,news,0.03298452040385125,0.5342482747057348,22610
baseline_garch,no_news,0.027356681675111738,0.6032894736842105,390
baseline_garch_midas,news,0.032922190507589315,0.5342482747057348,22610
baseline_garch_midas,no_news,0.027614417065563605,0.6032894736842105,390
baseline_gru,news,0.033928660210222006,0.5136911363975799,22610
baseline_gru,no_news,0.02912980830296874,0.4632894736842106,390
baseline_har_rv,news,0.03317206462520512,8.695652173913044e-05,22610
baseline_har_rv,no_news,0.02846941938460077,0.002631578947368421,390
baseline_lstm,news,0.03441413398832083,0.4971114318885667,22610
baseline_lstm,no_news,0.03686224389821291,0.43328947368421056,390
baseline_martingale,news,0.03317206462520512,8.695652173913044e-05,22610
baseline_martingale,no_news,0.02846941938460077,0.002631578947368421,390
baseline_sentiment_lstm,news,0.03338425746187568,0.5439185821730395,22610
baseline_sentiment_lstm,no_news,0.028182499576359987,0.5007894736842106,390
baseline_tft,news,0.03587728124719061,0.5107420294082008,22610
baseline_tft,no_news,0.03125457683216442,0.6282894736842106,390
baseline_transformer,news,0.03374237287789583,0.5268947781845029,22610
baseline_transformer,no_news,0.02720805210992694,0.6607894736842106,390
dramt_ensemble,news,0.03312645433470607,0.5470726300275878,22610
dramt_ensemble,no_news,0.026509500108659267,0.6032894736842105,390
dramt_garch,news,0.0334309539757669,0.5283164446116433,22610
dramt_garch,no_news,0.02756646554917097,0.6453947368421052,390
dramt_gate_ext,news,0.03387620206922293,0.5384441170917555,22610
dramt_gate_ext,no_news,0.02862871065735817,0.6332894736842105,390
dramt_gate_ext_time,news,0.033249118365347385,0.5492755067391445,22610
dramt_gate_ext_time,no_news,0.025417068507522345,0.6396052631578948,390
dramt_gate_time,news,0.03296471294015646,0.556706846508692,22610
dramt_gate_time,no_news,0.02661386225372553,0.6182894736842106,390
dramt_gpu,news,0.03367916261777282,0.5413613487588308,22610
dramt_gpu,no_news,0.02637647185474634,0.5901315789473685,390
