run,mean_abs_err,ci_lo,ci_hi,n
baseline_gru,0.03384341672062874,0.03042967994697392,0.03720645271241665,460
baseline_har_rv,0.03307559228607888,0.02975469424417017,0.03655733907518608,460
baseline_lstm,0.03443719819188118,0.03060783986002207,0.03803088860586285,460
baseline_martingale,0.03307559228607888,0.02975469424417017,0.03655733907518608,460
baseline_sentiment_lstm,0.03329290449619293,0.029854526882991193,0.036856986302882436,460
baseline_tft,0.03576192785964459,0.032018053950428164,0.039798958328640645,460
baseline_transformer,0.03361639007925987,0.02999762920662761,0.037385137751698494,460
dramt_ensemble,0.03298606351017952,0.02943908143788576,0.03654906898736954,460
dramt_garch,0.03330465033650398,0.02985989539884031,0.03680700641125441,460
dramt_gate_ext,0.03375152498483658,0.030234194546937942,0.037401325162500144,460
dramt_gate_ext_time,0.03309124335646629,0.029513226728886368,0.036783191934227945,460
dramt_gate_time,0.032835036516189575,0.0293295131996274,0.03644882384687662,460
dramt_gpu,0.03352487459778786,0.029998823953792452,0.037159898597747085,460
dramt_lam1_2,0.034181512892246246,0.030778541741892696,0.037766765151172874,460
dramt_lam1_5,0.033300720155239105,0.029778814129531383,0.03693718547001481,460
dramt_rank,0.03297730162739754,0.029588744929060343,0.03654438331723213,460
dramt_rank_only,0.03342587873339653,0.03011159230954945,0.03684298451989889,460
dramt_riskonly,0.03340981528162956,0.03008656636811793,0.03696632049977779,460
dramt_seed42,0.03396578133106232,0.030255507351830604,0.037860320974141354,460
dramt_seed43,0.03292772173881531,0.02954950397834182,0.03644786402583122,460
dramt_seed44,0.03311489522457123,0.029571829549968242,0.03678146740421653,460
dramt_seed45,0.03502983599901199,0.03163048187270761,0.038576874788850544,460
dramt_seed46,0.03448362648487091,0.031175272958353165,0.03792160004377365,460
dramt_seed47,0.03305293247103691,0.02947882474400103,0.03674553576856852,460
dramt_seed48,0.035655561834573746,0.03189026396721602,0.039246253203600645,460
dramt_seed49,0.03382907062768936,0.030291415611281992,0.037545401509851216,460
dramt_seed50,0.03299163654446602,0.02937389467842877,0.036662837583571674,460
dramt_seed51,0.03329570218920708,0.029731916589662434,0.03702919818460941,460
dramt_t,0.03298920765519142,0.029537170426920056,0.0366509866900742,460
dramt_t_garch,0.033324647694826126,0.029870990244671703,0.036953264754265545,460
dramt_t_har,0.035440851002931595,0.03184480937197805,0.03958150297403336,460
dramt_tg_ensemble,0.03300600126385689,0.029629035759717228,0.03669155575335026,460
dramt_tg_seed42,0.03364650532603264,0.030318798217922452,0.03717802446335554,460
dramt_tg_seed43,0.03419307619333267,0.030739723518490792,0.037991779483854765,460
dramt_tg_seed44,0.03571411222219467,0.032107547577470544,0.039490550942718985,460
dramt_tg_seed45,0.03324853628873825,0.029894123971462253,0.03691997583955526,460
dramt_tg_seed46,0.034839384257793427,0.031242907466366886,0.03862832449376583,460
dramt_tg_seed47,0.03275906667113304,0.029273086180910467,0.03642608365043998,460
dramt_tg_seed48,0.034446679055690765,0.03125432878732681,0.03808443285524845,460
dramt_tg_seed49,0.03380686417222023,0.03020755695179105,0.037553107179701326,460
dramt_tg_seed50,0.03296804428100586,0.029554890980944038,0.03661775887012482,460
dramt_tg_seed51,0.03330259770154953,0.02980908746831119,0.036787056270986794,460
