run,dropped_fold,MAE,DirAcc,VaRBreach
ablation_no_macro_s45,none,0.03393951337784529,0.5547391304347826,0.08478260869565217
ablation_no_macro_s45,0,0.03647808978954951,0.5184927536231884,0.11304347826086956
ablation_no_macro_s45,1,0.03422952815890312,0.5649855072463768,0.08985507246376812
ablation_no_macro_s45,2,0.033091701567173004,0.5572753623188406,0.057971014492753624
ablation_no_macro_s45,3,0.031958733995755516,0.5782028985507246,0.07826086956521738
ablation_no_macro_s46,none,0.03375899372622371,0.5168260869565218,0.09565217391304348
ablation_no_macro_s46,0,0.036251949767271675,0.4857391304347825,0.11884057971014493
ablation_no_macro_s46,1,0.034479678298036255,0.5156521739130434,0.08985507246376812
ablation_no_macro_s46,2,0.032792109375198684,0.5085217391304347,0.07536231884057971
ablation_no_macro_s46,3,0.031512237464388214,0.5573913043478261,0.09855072463768116
ablation_no_sentiment_s42,none,0.0334507105872035,0.5510869565217391,0.1
ablation_no_sentiment_s42,0,0.03617876023054123,0.5195942028985507,0.13333333333333333
ablation_no_sentiment_s42,1,0.033673820396264396,0.5573333333333333,0.09565217391304348
ablation_no_sentiment_s42,2,0.032385848462581635,0.5549565217391305,0.07246376811594203
ablation_no_sentiment_s42,3,0.03156441325942675,0.572463768115942,0.09855072463768116
ablation_no_sentiment_s43,none,0.03309177793562412,0.5392173913043479,0.09782608695652174
ablation_no_sentiment_s43,0,0.03519143039981524,0.531768115942029,0.12753623188405797
ablation_no_sentiment_s43,1,0.03415919840335846,0.527072463768116,0.0927536231884058
ablation_no_sentiment_s43,2,0.03181188181042671,0.5415652173913043,0.07536231884057971
ablation_no_sentiment_s43,3,0.031204601128896076,0.556463768115942,0.09565217391304348
ablation_no_sentiment_s44,none,0.03384948382154107,0.5457826086956522,0.12173913043478261
ablation_no_sentiment_s44,0,0.035558746506770454,0.5262028985507247,0.13043478260869565
ablation_no_sentiment_s44,1,0.03460666723549366,0.5521739130434783,0.12173913043478261
ablation_no_sentiment_s44,2,0.03302386961877346,0.5474782608695653,0.10724637681159421
ablation_no_sentiment_s44,3,0.03220865192512671,0.5572753623188406,0.12753623188405797
ablation_no_sentiment_s45,none,0.03531955601647496,0.5087391304347827,0.10217391304347827
ablation_no_sentiment_s45,0,0.038276816407839455,0.47860869565217395,0.12753623188405797
ablation_no_sentiment_s45,1,0.035798133040467896,0.5278840579710146,0.11014492753623188
ablation_no_sentiment_s45,2,0.033360445871949196,0.5115942028985507,0.06956521739130435
ablation_no_sentiment_s45,3,0.033842828745643296,0.5168695652173914,0.10144927536231885
ablation_no_sentiment_s46,none,0.03350988170132041,0.5496521739130436,0.1173913043478261
ablation_no_sentiment_s46,0,0.03596844896674156,0.5248695652173913,0.15072463768115943
ablation_no_sentiment_s46,1,0.03408342786133289,0.5501449275362319,0.10434782608695652
ablation_no_sentiment_s46,2,0.03247220627963543,0.552463768115942,0.10144927536231885
ablation_no_sentiment_s46,3,0.031515443697571754,0.5711304347826087,0.11304347826086958
ablation_numerical_only_s42,none,0.032872608397156,0.5546086956521739,0.0891304347826087
ablation_numerical_only_s42,0,0.03510861160854498,0.5340869565217391,0.11594202898550725
ablation_numerical_only_s42,1,0.03395004943013191,0.5471304347826087,0.08985507246376812
ablation_numerical_only_s42,2,0.03160836982230345,0.5591304347826087,0.057971014492753624
ablation_numerical_only_s42,3,0.03082340272764365,0.5780869565217391,0.0927536231884058
