run,horizon,MAE,null_MAE,oracle_drift_MAE,mean_pred,mean_actual,n_obs,beats_null
ablation_no_sentiment_s43,9,0.04421445354819298,0.044423654675483704,0.04373978078365326,0.012802263721823692,0.005948053207248449,2300,True
ablation_no_sentiment_s43,10,0.04661555588245392,0.04693780466914177,0.04614844545722008,0.01411602646112442,0.006491753738373518,2300,True
ablation_no_sentiment_s44,1,0.014544452540576458,0.01386623177677393,0.013836405239999294,0.0022200222592800856,0.0007494936580769718,2300,False
ablation_no_sentiment_s44,2,0.021184153854846954,0.020612254738807678,0.020535385236144066,0.004531256854534149,0.00138772779610008,2300,False
ablation_no_sentiment_s44,3,0.026236852630972862,0.02542862668633461,0.025290384888648987,0.006842158734798431,0.0021548259537667036,2300,False
ablation_no_sentiment_s44,4,0.030472807586193085,0.029436659067869186,0.02925657480955124,0.009045111946761608,0.002847495721653104,2300,False
ablation_no_sentiment_s44,5,0.034031227231025696,0.032922785729169846,0.03267541527748108,0.011001442559063435,0.0035679801367223263,2300,False
ablation_no_sentiment_s44,6,0.03713954612612724,0.03617163002490997,0.0358055979013443,0.012189174070954323,0.004151492845267057,2300,False
ablation_no_sentiment_s44,7,0.040077727288007736,0.039120111614465714,0.038658902049064636,0.013658357784152031,0.00470747472718358,2300,False
ablation_no_sentiment_s44,8,0.04246921464800835,0.04183616489171982,0.04128556698560715,0.01493798941373825,0.005358648020774126,2300,False
ablation_no_sentiment_s44,9,0.044927794486284256,0.044423654675483704,0.04373978078365326,0.016447240486741066,0.005948053207248449,2300,False
ablation_no_sentiment_s44,10,0.04741106927394867,0.04693780466914177,0.04614844545722008,0.017286574468016624,0.006491753738373518,2300,False
ablation_no_sentiment_s45,1,0.015642080456018448,0.01386623177677393,0.013836405239999294,0.0032975468784570694,0.0007494936580769718,2300,False
ablation_no_sentiment_s45,2,0.02174941636621952,0.020612254738807678,0.020535385236144066,0.004587819799780846,0.00138772779610008,2300,False
ablation_no_sentiment_s45,3,0.02665330097079277,0.02542862668633461,0.025290384888648987,0.005299227312207222,0.0021548259537667036,2300,False
ablation_no_sentiment_s45,4,0.0311521515250206,0.029436659067869186,0.02925657480955124,0.005993833765387535,0.002847495721653104,2300,False
ablation_no_sentiment_s45,5,0.03516727685928345,0.032922785729169846,0.03267541527748108,0.006537970621138811,0.0035679801367223263,2300,False
ablation_no_sentiment_s45,6,0.0386904776096344,0.03617163002490997,0.0358055979013443,0.007206770125776529,0.004151492845267057,2300,False
ablation_no_sentiment_s45,7,0.041868362575769424,0.039120111614465714,0.038658902049064636,0.008138232864439487,0.00470747472718358,2300,False
ablation_no_sentiment_s45,8,0.04486745595932007,0.04183616489171982,0.04128556698560715,0.009282111190259457,0.005358648020774126,2300,False
ablation_no_sentiment_s45,9,0.04741220921278,0.044423654675483704,0.04373978078365326,0.010123792104423046,0.005948053207248449,2300,False
ablation_no_sentiment_s45,10,0.04999283328652382,0.04693780466914177,0.04614844545722008,0.011403239332139492,0.006491753738373518,2300,False
ablation_no_sentiment_s46,1,0.014166095294058323,0.01386623177677393,0.013836405239999294,0.0022412610705941916,0.0007494936580769718,2300,False
ablation_no_sentiment_s46,2,0.020671049132943153,0.020612254738807678,0.020535385236144066,0.004510647151619196,0.00138772779610008,2300,False
ablation_no_sentiment_s46,3,0.02552470751106739,0.02542862668633461,0.025290384888648987,0.006339851766824722,0.0021548259537667036,2300,False
ablation_no_sentiment_s46,4,0.02969248965382576,0.029436659067869186,0.02925657480955124,0.008032518438994884,0.002847495721653104,2300,False
ablation_no_sentiment_s46,5,0.03341670334339142,0.032922785729169846,0.03267541527748108,0.010253801941871643,0.0035679801367223263,2300,False
ablation_no_sentiment_s46,6,0.036746323108673096,0.03617163002490997,0.0358055979013443,0.011401922442018986,0.004151492845267057,2300,False
ablation_no_sentiment_s46,7,0.03984122350811958,0.039120111614465714,0.038658902049064636,0.012511029839515686,0.00470747472718358,2300,False
ablation_no_sentiment_s46,8,0.04254913702607155,0.04183616489171982,0.04128556698560715,0.013656706549227238,0.005358648020774126,2300,False
