run,ann_return,ann_vol,target_vol,vol_target_error,sharpe,max_drawdown,mean_leverage,leverage_turnover,n_days
ablation_full_s42,0.04514744520817363,0.08506955168581402,0.1,0.014930448314185982,0.5307121562708588,-0.15270809495305016,0.330142216069167,0.016882846276286053,460
dramt_seed47,0.04508450361356077,0.08467838542411946,0.1,0.015321614575880549,0.5324204445768645,-0.13688515352472247,0.3659955506217517,0.029645166970093048,460
ablation_no_macro_s43,0.041009262460613545,0.08466430008703832,0.1,0.015335699912961687,0.48437490676063427,-0.14268245708782928,0.34715555055238123,0.015201333940582847,460
dramt_seed51,0.03567915316477666,0.08430839329456855,0.1,0.01569160670543146,0.4231981155199555,-0.17193894113377958,0.34603857104034014,0.022492927922746184,460
ablation_no_sentiment_s45,0.04952812533740503,0.08430203983802587,0.1,0.01569796016197414,0.5875080298479862,-0.16578218789752433,0.3468893017750661,0.015464802490357947,460
ablation_static_fusion_s46,0.017574748566681824,0.08425128477986235,0.1,0.015748715220137655,0.20859917581793982,-0.15135516372119556,0.32715136323724,0.009747420635349736,460
dramt_seed44,0.03924353982034992,0.08411526562273709,0.1,0.015884734377262913,0.46654480051647185,-0.157962327842203,0.33796198886902135,0.020435139159581277,460
ablation_full_s44,0.03910268150099819,0.08410427454585095,0.1,0.01589572545414905,0.46493096471191436,-0.15796527762421161,0.3380305122671019,0.02045137215108625,460
dramt_rank,0.04071380203689299,0.08362232034930266,0.1,0.01637767965069735,0.4868772101375026,-0.15110102901536976,0.3032918805786269,0.015093331802771228,460
ablation_numerical_only_s44,0.048934587954061096,0.08360628146938005,0.1,0.016393718530619952,0.5852979835251122,-0.14362173094072855,0.33973262519756714,0.011853167336778068,460
dramt_seed42,0.03838041655336591,0.0828633341649167,0.1,0.017136665835083303,0.46317731406969737,-0.1472116238682315,0.31808623271095965,0.016914907884935132,460
ablation_full_s43,0.03539516074757085,0.08273331628057434,0.1,0.017266683719425663,0.42782233734635844,-0.1368528181260007,0.32904896286557567,0.016865631306833696,460
dramt_t_har,0.04964281646616578,0.08265326417829459,0.1,0.017346735821705414,0.6006153170076782,-0.14976220191972156,0.3589756220818988,0.017018780517628042,460
ablation_perm_macro_s46,0.027146860349040552,0.0820540324931826,0.1,0.0179459675068174,0.3308412703701799,-0.16862855228354312,0.3415216358393247,0.019234378405632708,460
ablation_perm_macro_s44,0.032584751594437696,0.08092060087253905,0.1,0.019079399127460955,0.4026756010594028,-0.14417661242896504,0.34118806867702844,0.022886771375996463,460
dramt_seed50,0.035889279310210215,0.08074127449918472,0.1,0.019258725500815282,0.4444973098681097,-0.14799461239229503,0.3313596738551905,0.016093608730698445,460
dramt_seed46,0.04231383175623897,0.08069556411966596,0.1,0.01930443588033405,0.5243637889870932,-0.13512258047190404,0.33363239327574873,0.022395791829703325,460
ablation_point_only_s42,0.03838200552655205,0.08058333524546804,0.1,0.019416664754531965,0.4763020221195254,-0.13151572512254014,0.31876576444993493,0.00873731668495499,460
ablation_no_sentiment_s46,0.029743789790716364,0.0798714724532776,0.1,0.02012852754672241,0.3723956611431645,-0.14465434731790847,0.3350335775467655,0.019408627913635904,460
ablation_no_macro_s45,0.026089895197994054,0.0798688382245333,0.1,0.0201311617754667,0.32665925507327614,-0.1386197237379967,0.3110115830879722,0.018137059328692848,460
ablation_no_sentiment_s43,0.03944927315774577,0.07980393711397031,0.1,0.020196062886029695,0.4943274051931438,-0.15198920932827323,0.3449233431242486,0.01853807362145588,460
ablation_full_s46,0.037640483207188484,0.07959594255192695,0.1,0.020404057448073054,0.4728944968850958,-0.13511342057735182,0.326151790701753,0.021719046909874785,460
ablation_no_sentiment_s44,0.04594731032826446,0.07815405495858885,0.1,0.021845945041411158,0.5879069275754196,-0.14229788817638503,0.33627029758195764,0.017756385269089132,460
ablation_perm_macro_s45,0.034795640943002915,0.07712210737510372,0.1,0.022877892624896284,0.4511759614369085,-0.13666109436938303,0.3041579030937474,0.013967522216595609,460
ablation_numerical_only_s45,0.03671837721836545,0.07654769595328775,0.1,0.023452304046712252,0.47967971812988813,-0.14613427005244023,0.300253870592411,0.006910973658936921,460
ablation_no_macro_s46,0.03124018892305548,0.07603746900762529,0.1,0.02396253099237472,0.4108525616485553,-0.13334264307803592,0.31759483492380464,0.021035168915181163,460
ablation_numerical_only_s46,0.03200061712003941,0.0757775337431824,0.1,0.024222466256817607,0.4222968938061865,-0.13033053760278357,0.3174455682723336,0.012638058652737247,460
ablation_static_fusion_s43,0.03480094661802726,0.07514036916863237,0.1,0.024859630831367635,0.46314580302268527,-0.12800549936518113,0.29643694642154067,0.009846010965463435,460
dramt_seed43,0.03358413187158832,0.07444637609286542,0.1,0.025553623907134587,0.451118424215774,-0.13685280384749232,0.29348456619101765,0.012227848814680493,460
dramt_rank_only,0.05226653990806551,0.0743607048786347,0.1,0.0256392951213653,0.702878489295799,-0.12130954673526648,0.3084397295975181,0.017742760173210703,460
dramt_seed48,0.021246970960203313,0.0732542054874258,0.1,0.02674579451257421,0.2900443847398002,-0.13520571594714384,0.2954846611139715,0.02275318838297039,460
dramt_ensemble,0.02628130387553266,0.07237250598771307,0.1,0.027627494012286938,0.3631393374715327,-0.13704438337768818,0.29303903158843275,0.01103744822731991,460
ablation_perm_macro_s43,0.024568925328417777,0.07237177749646162,0.1,0.027628222503538385,0.3394821321007211,-0.12812080808048665,0.2804487033482531,0.012806387339473634,460
dramt_seed49,0.029944724799684415,0.07134199762891517,0.1,0.02865800237108483,0.4197348798030812,-0.13137625703891107,0.2849487853243765,0.01691298609158156,460
dramt_seed45,0.02883982916364894,0.07085698046224113,0.1,0.02914301953775887,0.4070146508574035,-0.13224710394573908,0.29997063945507435,0.01912652731342414,460
ablation_perm_sentiment_s45,0.024939229086902128,0.070747300078049,0.1,0.02925269992195101,0.35251138996666964,-0.13781670586073927,0.29528407950547697,0.015430766044669312,460
ablation_perm_sentiment_s46,0.015085623610759949,0.07044187691089361,0.1,0.029558123089106395,0.21415703658553434,-0.1281490387931336,0.27502324729653865,0.011316162535041661,460
ablation_full_s45,0.025562621480013873,0.06878709103662828,0.1,0.031212908963371727,0.37161945787767203,-0.12623067798766963,0.2898880119841712,0.018329639388709077,460
baseline_garch_midas,0.09810815666582247,0.15645660694441685,0.1,0.05645660694441684,0.6270630469487083,-0.2715738450781489,0.6926855713080324,0.04186538683136549,460
baseline_garch,0.13070915338237213,0.162145668600174,0.1,0.06214566860017398,0.806121770077501,-0.2612101513253319,0.7292398952431071,0.04495513536162248,460
baseline_martingale,0.09942760691272229,0.17241353582115418,0.1,0.07241353582115417,0.5766809806386621,-0.3044056533598649,0.7336696934026102,0.007905612371555215,460
buy_and_hold (unlevered),0.18887239214891768,0.24111134069576445,,,0.7833409726970821,-0.38563399455633773,1.0,0.0,460
